"Date","Price","Open","High","Low","Vol","Change"
"Aug 31, 2015","229.5","228.4","231.8","224.2","54.510","0.47%"
"Aug 30, 2015","228.4","228.5","232.3","225.4","39.810","-0.04%"
"Aug 29, 2015","228.5","231.6","233.1","226.4","43.740","-1.36%"
"Aug 28, 2015","231.6","222.7","234.8","219.6","90.660","4.00%"
"Aug 27, 2015","222.7","225.0","228.4","222.0","60.250","-1.00%"
"Aug 26, 2015","225.0","220.5","230.7","218.8","92.810","2.02%"
"Aug 25, 2015","220.5","211.4","226.6","196.3","190.790","4.29%"
"Aug 24, 2015","211.4","226.8","228.4","207.8","196.700","-6.76%"
"Aug 23, 2015","226.8","229.5","232.7","224.3","48.840","-1.22%"
"Aug 22, 2015","229.5","232.4","235.1","221.0","74.210","-1.23%"
"Aug 21, 2015","232.4","234.7","236.3","230.5","57.650","-0.96%"
"Aug 20, 2015","234.7","226.0","238.0","225.5","90.980","3.83%"
"Aug 19, 2015","226.0","246.7","247.9","214.3","245.820","-8.40%"
